Departure Airport Name,Departure Airport ID,Departure Time,Arrival Airport Name,Arrival Airport ID,Arrival Time,Duration,Airline,Travel Class,Total Duration,Layover 1 Duration,Layover 1 Overnight,Price,Cabin Baggage,Checked Baggage,Meal Included,Cabin Baggage (Number),Cabin Baggage (kg per piece),Checked Baggage (Number),Checked Baggage (kg per piece),Day of Week (on flight date),Departure Country Is Holiday,Arrival Country Is Holiday,Overnight Flight,Final Arrival Airport Name,Final Arrival Airport ID,Airport Distance (km),Airline Star Rating,Time of Day,Flight Type,Total_Baggage_kg
Wattay International Airport,VTE,01/07/2024 13:40,Suvarnabhumi Airport,BKK,01/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Monday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,01/07/2024 20:30,Suvarnabhumi Airport,BKK,01/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Monday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,02/07/2024 13:40,Suvarnabhumi Airport,BKK,02/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Tuesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,02/07/2024 20:30,Suvarnabhumi Airport,BKK,02/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Tuesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,03/07/2024 13:40,Suvarnabhumi Airport,BKK,03/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Wednesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,03/07/2024 20:30,Suvarnabhumi Airport,BKK,03/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Wednesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,04/07/2024 13:40,Suvarnabhumi Airport,BKK,04/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Thursday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,04/07/2024 20:30,Suvarnabhumi Airport,BKK,04/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Thursday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,05/07/2024 13:40,Suvarnabhumi Airport,BKK,05/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Friday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,05/07/2024 20:30,Suvarnabhumi Airport,BKK,05/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Friday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,06/07/2024 13:40,Suvarnabhumi Airport,BKK,06/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Saturday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,06/07/2024 20:30,Suvarnabhumi Airport,BKK,06/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Saturday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,07/07/2024 13:40,Suvarnabhumi Airport,BKK,07/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Sunday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,07/07/2024 20:30,Suvarnabhumi Airport,BKK,07/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Sunday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,08/07/2024 13:40,Suvarnabhumi Airport,BKK,08/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Monday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,08/07/2024 20:30,Suvarnabhumi Airport,BKK,08/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Monday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,09/07/2024 13:40,Suvarnabhumi Airport,BKK,09/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Tuesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,09/07/2024 20:30,Suvarnabhumi Airport,BKK,09/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Tuesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,10/07/2024 13:40,Suvarnabhumi Airport,BKK,10/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Wednesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,10/07/2024 20:30,Suvarnabhumi Airport,BKK,10/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Wednesday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,11/07/2024 13:40,Suvarnabhumi Airport,BKK,11/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Thursday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,11/07/2024 20:30,Suvarnabhumi Airport,BKK,11/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Thursday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,12/07/2024 13:40,Suvarnabhumi Airport,BKK,12/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Friday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
Wattay International Airport,VTE,12/07/2024 20:30,Suvarnabhumi Airport,BKK,12/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Friday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,13/07/2024 20:30,Suvarnabhumi Airport,BKK,13/07/2024 21:55,85,THAI,Premium Economy,85,0.0,False,326.0,True,True,True,1,7,1,35,Saturday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Evening,Layover,42
Wattay International Airport,VTE,14/07/2024 13:40,Suvarnabhumi Airport,BKK,14/07/2024 15:00,80,THAI,Premium Economy,80,0.0,False,326.0,True,True,True,1,7,1,35,Sunday,False,False,False,Suvarnabhumi Airport,BKK,512.3518293813984,4,Afternoon,Layover,42
